VG,IG,ID,absId,absIg
-14,-1.4133E-09,7.2744E-10,7.2744E-10,1.4133E-09
-13.8,-1.3729E-09,7.0743E-10,7.0743E-10,1.3729E-09
-13.6,-1.3339E-09,6.8809E-10,6.8809E-10,1.3339E-09
-13.4,-1.2948E-09,6.6778E-10,6.6778E-10,1.2948E-09
-13.200000000000001,-1.2564E-09,6.4895E-10,6.4895E-10,1.2564E-09
-13,-1.2195E-09,6.3215E-10,6.3215E-10,1.2195E-09
-12.8,-1.1842E-09,6.1314E-10,6.1314E-10,1.1842E-09
-12.6,-1.1492E-09,5.9799E-10,5.9799E-10,1.1492E-09
-12.4,-1.1147E-09,5.7936000000000005E-10,5.7936000000000005E-10,1.1147E-09
-12.200000000000001,-1.0813E-09,5.6351000000000005E-10,5.6351000000000005E-10,1.0813E-09
-12,-1.0479999999999999E-09,5.4517000000000009E-10,5.4517000000000009E-10,1.0479999999999999E-09
-11.8,-1.0147E-09,5.2786000000000008E-10,5.2786000000000008E-10,1.0147E-09
-11.6,-9.8414E-10,5.1171000000000009E-10,5.1171000000000009E-10,9.8414E-10
-11.4,-9.529E-10,5.0552E-10,5.0552E-10,9.529E-10
-11.200000000000001,-9.2284000000000009E-10,4.9693000000000006E-10,4.9693000000000006E-10,9.2284000000000009E-10
-11,-8.9210000000000005E-10,4.7685000000000006E-10,4.7685000000000006E-10,8.9210000000000005E-10
-10.8,-8.6389000000000011E-10,4.5677E-10,4.5677E-10,8.6389000000000011E-10
-10.6,-8.3490000000000008E-10,4.3581E-10,4.3581E-10,8.3490000000000008E-10
-10.4,-8.0641000000000011E-10,4.305E-10,4.305E-10,8.0641000000000011E-10
-10.200000000000001,-7.7916E-10,4.0647000000000004E-10,4.0647000000000004E-10,7.7916E-10
-10,-7.5333E-10,3.8164000000000004E-10,3.8164000000000004E-10,7.5333E-10
-9.8,-7.2677000000000007E-10,3.8690000000000003E-10,3.8690000000000003E-10,7.2677000000000007E-10
-9.6,-7.0117000000000007E-10,3.7412000000000005E-10,3.7412000000000005E-10,7.0117000000000007E-10
-9.4,-6.7549E-10,3.6778000000000005E-10,3.6778000000000005E-10,6.7549E-10
-9.2000000000000011,-6.5154E-10,3.4994000000000003E-10,3.4994000000000003E-10,6.5154E-10
-9,-6.2790000000000008E-10,3.7714000000000005E-10,3.7714000000000005E-10,6.2790000000000008E-10
-8.8,-6.042E-10,3.1426E-10,3.1426E-10,6.042E-10
-8.6,-5.8218E-10,3.2173000000000004E-10,3.2173000000000004E-10,5.8218E-10
-8.4,-5.597E-10,3.3898E-10,3.3898E-10,5.597E-10
-8.2,-5.3784000000000008E-10,2.8699E-10,2.8699E-10,5.3784000000000008E-10
-8,-5.1666000000000005E-10,2.8316000000000003E-10,2.8316000000000003E-10,5.1666000000000005E-10
-7.8,-4.96E-10,2.5545000000000003E-10,2.5545000000000003E-10,4.96E-10
-7.6000000000000005,-4.7588E-10,3.4752E-10,3.4752E-10,4.7588E-10
-7.4,-4.5634000000000005E-10,3.252E-10,3.252E-10,4.5634000000000005E-10
-7.2,-4.3685000000000005E-10,3.0996000000000003E-10,3.0996000000000003E-10,4.3685000000000005E-10
-7,-4.1818000000000005E-10,2.571E-10,2.571E-10,4.1818000000000005E-10
-6.8,-3.9997E-10,2.2772000000000002E-10,2.2772000000000002E-10,3.9997E-10
-6.6000000000000005,-3.8217000000000004E-10,2.2664E-10,2.2664E-10,3.8217000000000004E-10
-6.4,-3.6516E-10,2.8175000000000004E-10,2.8175000000000004E-10,3.6516E-10
-6.2,-3.4766E-10,2.7625E-10,2.7625E-10,3.4766E-10
-6,-3.3107000000000003E-10,2.5027E-10,2.5027E-10,3.3107000000000003E-10
-5.8,-3.147E-10,1.9091000000000002E-10,1.9091000000000002E-10,3.147E-10
-5.6000000000000005,-2.9925000000000003E-10,2.4198000000000003E-10,2.4198000000000003E-10,2.9925000000000003E-10
-5.4,-2.8432E-10,2.5529E-10,2.5529E-10,2.8432E-10
-5.2,-2.6873E-10,1.9787E-10,1.9787E-10,2.6873E-10
-5,-2.545E-10,1.6608E-10,1.6608E-10,2.545E-10
-4.8,-2.4013000000000003E-10,2.0736000000000002E-10,2.0736000000000002E-10,2.4013000000000003E-10
-4.6000000000000005,-2.2641000000000002E-10,2.0080000000000002E-10,2.0080000000000002E-10,2.2641000000000002E-10
-4.4,-2.1320000000000002E-10,1.5643000000000002E-10,1.5643000000000002E-10,2.1320000000000002E-10
-4.2,-2.0026000000000002E-10,1.9179000000000002E-10,1.9179000000000002E-10,2.0026000000000002E-10
-4,-1.8726E-10,2.0214E-10,2.0214E-10,1.8726E-10
-14,-1.4392E-09,1.1775E-09,1.1775E-09,1.4392E-09
-13.8,-1.398E-09,1.8713E-09,1.8713E-09,1.398E-09
-13.6,-1.3566E-09,3.3739E-09,3.3739E-09,1.3566E-09
-13.4,-1.3181E-09,6.3735E-09,6.3735E-09,1.3181E-09
-13.200000000000001,-1.2801E-09,1.1733799999999999E-08,1.1733799999999999E-08,1.2801E-09
-13,-1.2426E-09,2.1205799999999997E-08,2.1205799999999997E-08,1.2426E-09
-12.8,-1.2057E-09,3.6283999999999996E-08,3.6283999999999996E-08,1.2057E-09
-12.6,-1.1708E-09,5.9166199999999993E-08,5.9166199999999993E-08,1.1708E-09
-12.4,-1.1352E-09,9.1761399999999992E-08,9.1761399999999992E-08,1.1352E-09
-12.200000000000001,-1.1008E-09,1.3662E-07,1.3662E-07,1.1008E-09
-12,-1.0681E-09,1.9572E-07,1.9572E-07,1.0681E-09
-11.8,-1.0347E-09,2.7054E-07,2.7054E-07,1.0347E-09
-11.6,-1.0026E-09,3.6338E-07,3.6338E-07,1.0026E-09
-11.4,-9.7226000000000011E-10,4.72E-07,4.72E-07,9.7226000000000011E-10
-11.200000000000001,-9.4096E-10,6.0348E-07,6.0348E-07,9.4096E-10
-11,-9.1049E-10,7.5424E-07,7.5424E-07,9.1049E-10
-10.8,-8.8161E-10,9.2491999999999995E-07,9.2491999999999995E-07,8.8161E-10
-10.6,-8.517400000000001E-10,1.1162E-06,1.1162E-06,8.517400000000001E-10
-10.4,-8.2382000000000006E-10,1.3252E-06,1.3252E-06,8.2382000000000006E-10
-10.200000000000001,-7.9655000000000011E-10,1.5559000000000002E-06,1.5559000000000002E-06,7.9655000000000011E-10
-10,-7.6891000000000009E-10,1.8047000000000003E-06,1.8047000000000003E-06,7.6891000000000009E-10
-9.8,-7.4265E-10,2.0708E-06,2.0708E-06,7.4265E-10
-9.6,-7.1643000000000008E-10,2.3531000000000004E-06,2.3531000000000004E-06,7.1643000000000008E-10
-9.4,-6.9104E-10,2.652E-06,2.652E-06,6.9104E-10
-9.2000000000000011,-6.6679E-10,2.9661000000000003E-06,2.9661000000000003E-06,6.6679E-10
-9,-6.422100000000001E-10,3.2942E-06,3.2942E-06,6.422100000000001E-10
-8.8,-6.1936E-10,3.6352000000000004E-06,3.6352000000000004E-06,6.1936E-10
-8.6,-5.961E-10,3.9867E-06,3.9867E-06,5.961E-10
-8.4,-5.7332E-10,4.3496000000000007E-06,4.3496000000000007E-06,5.7332E-10
-8.2,-5.5135000000000007E-10,4.7231000000000006E-06,4.7231000000000006E-06,5.5135000000000007E-10
-8,-5.3007E-10,5.1051000000000005E-06,5.1051000000000005E-06,5.3007E-10
-7.8,-5.0886E-10,5.4926000000000006E-06,5.4926000000000006E-06,5.0886E-10
-7.6000000000000005,-4.8809E-10,5.8892E-06,5.8892E-06,4.8809E-10
-7.4,-4.6814E-10,6.2914000000000004E-06,6.2914000000000004E-06,4.6814E-10
-7.2,-4.4878000000000003E-10,6.6968000000000008E-06,6.6968000000000008E-06,4.4878000000000003E-10
-7,-4.2948000000000005E-10,7.107500000000001E-06,7.107500000000001E-06,4.2948000000000005E-10
-6.8,-4.1101E-10,7.5213000000000012E-06,7.5213000000000012E-06,4.1101E-10
-6.6000000000000005,-3.9274000000000003E-10,7.9387E-06,7.9387E-06,3.9274000000000003E-10
-6.4,-3.7505E-10,8.3552000000000009E-06,8.3552000000000009E-06,3.7505E-10
-6.2,-3.5780000000000005E-10,8.7749000000000013E-06,8.7749000000000013E-06,3.5780000000000005E-10
-6,-3.4078000000000004E-10,9.1945000000000015E-06,9.1945000000000015E-06,3.4078000000000004E-10
-5.8,-3.2471E-10,9.6141000000000017E-06,9.6141000000000017E-06,3.2471E-10
-5.6000000000000005,-3.0847E-10,1.00331E-05,1.00331E-05,3.0847E-10
-5.4,-2.9286E-10,1.04511E-05,1.04511E-05,2.9286E-10
-5.2,-2.7772E-10,1.0867100000000001E-05,1.0867100000000001E-05,2.7772E-10
-5,-2.6272E-10,1.1280400000000001E-05,1.1280400000000001E-05,2.6272E-10
-4.8,-2.4851E-10,1.169E-05,1.169E-05,2.4851E-10
-4.6000000000000005,-2.3449000000000004E-10,1.2098E-05,1.2098E-05,2.3449000000000004E-10
-4.4,-2.2071E-10,1.2502E-05,1.2502E-05,2.2071E-10
-4.2,-2.0731E-10,1.2902000000000001E-05,1.2902000000000001E-05,2.0731E-10
-4,-1.9468000000000002E-10,1.33E-05,1.33E-05,1.9468000000000002E-10
-14,-1.4778E-09,1.4002E-09,1.4002E-09,1.4778E-09
-13.8,-1.4373E-09,2.4348E-09,2.4348E-09,1.4373E-09
-13.6,-1.3962E-09,4.7096E-09,4.7096E-09,1.3962E-09
-13.4,-1.3562E-09,9.3711E-09,9.3711E-09,1.3562E-09
-13.200000000000001,-1.3184E-09,1.75376E-08,1.75376E-08,1.3184E-09
-13,-1.2809E-09,3.3074599999999995E-08,3.3074599999999995E-08,1.2809E-09
-12.8,-1.2434E-09,5.8086399999999997E-08,5.8086399999999997E-08,1.2434E-09
-12.6,-1.2076E-09,9.6576399999999986E-08,9.6576399999999986E-08,1.2076E-09
-12.4,-1.1728E-09,1.5176E-07,1.5176E-07,1.1728E-09
-12.200000000000001,-1.1369E-09,2.3066E-07,2.3066E-07,1.1369E-09
-12,-1.1038E-09,3.3544E-07,3.3544E-07,1.1038E-09
-11.8,-1.0708E-09,4.7018E-07,4.7018E-07,1.0708E-09
-11.6,-1.0372E-09,6.3843999999999994E-07,6.3843999999999994E-07,1.0372E-09
-11.4,-1.0057E-09,8.4262E-07,8.4262E-07,1.0057E-09
-11.200000000000001,-9.7489000000000014E-10,1.07918E-06,1.07918E-06,9.7489000000000014E-10
-11,-9.4385E-10,1.3596E-06,1.3596E-06,9.4385E-10
-10.8,-9.1396000000000012E-10,1.6831000000000002E-06,1.6831000000000002E-06,9.1396000000000012E-10
-10.6,-8.8402000000000012E-10,2.0465000000000002E-06,2.0465000000000002E-06,8.8402000000000012E-10
-10.4,-8.5512E-10,2.4488E-06,2.4488E-06,8.5512E-10
-10.200000000000001,-8.2703000000000009E-10,2.8896000000000003E-06,2.8896000000000003E-06,8.2703000000000009E-10
-10,-7.994900000000001E-10,3.3692000000000003E-06,3.3692000000000003E-06,7.994900000000001E-10
-9.8,-7.7185000000000008E-10,3.8834000000000008E-06,3.8834000000000008E-06,7.7185000000000008E-10
-9.6,-7.4547E-10,4.4304000000000008E-06,4.4304000000000008E-06,7.4547E-10
-9.4,-7.1920000000000006E-10,5.0125000000000007E-06,5.0125000000000007E-06,7.1920000000000006E-10
-9.2000000000000011,-6.9403E-10,5.6252000000000008E-06,5.6252000000000008E-06,6.9403E-10
-9,-6.6903E-10,6.2676000000000008E-06,6.2676000000000008E-06,6.6903E-10
-8.8,-6.4470000000000006E-10,6.9351000000000007E-06,6.9351000000000007E-06,6.4470000000000006E-10
-8.6,-6.2097000000000008E-10,7.6255000000000009E-06,7.6255000000000009E-06,6.2097000000000008E-10
-8.4,-5.9762000000000005E-10,8.3405000000000009E-06,8.3405000000000009E-06,5.9762000000000005E-10
-8.2,-5.7526E-10,9.0775E-06,9.0775E-06,5.7526E-10
-8,-5.529E-10,9.8320000000000017E-06,9.8320000000000017E-06,5.529E-10
-7.8,-5.3078E-10,1.0599700000000001E-05,1.0599700000000001E-05,5.3078E-10
-7.6000000000000005,-5.1006E-10,1.1384600000000001E-05,1.1384600000000001E-05,5.1006E-10
-7.4,-4.8931E-10,1.2184E-05,1.2184E-05,4.8931E-10
-7.2,-4.6887000000000006E-10,1.2986E-05,1.2986E-05,4.6887000000000006E-10
-7,-4.4939000000000004E-10,1.3804E-05,1.3804E-05,4.4939000000000004E-10
-6.8,-4.3023E-10,1.4632E-05,1.4632E-05,4.3023E-10
-6.6000000000000005,-4.1124E-10,1.5462000000000002E-05,1.5462000000000002E-05,4.1124E-10
-6.4,-3.9295E-10,1.6292E-05,1.6292E-05,3.9295E-10
-6.2,-3.7509000000000005E-10,1.713E-05,1.713E-05,3.7509000000000005E-10
-6,-3.5771000000000005E-10,1.7968E-05,1.7968E-05,3.5771000000000005E-10
-5.8,-3.4078000000000004E-10,1.8808E-05,1.8808E-05,3.4078000000000004E-10
-5.6000000000000005,-3.2434000000000004E-10,1.9644E-05,1.9644E-05,3.2434000000000004E-10
-5.4,-3.0794E-10,2.0482E-05,2.0482E-05,3.0794E-10
-5.2,-2.9242E-10,2.1314E-05,2.1314E-05,2.9242E-10
-5,-2.7679000000000003E-10,2.2144E-05,2.2144E-05,2.7679000000000003E-10
-4.8,-2.6199000000000004E-10,2.2964000000000002E-05,2.2964000000000002E-05,2.6199000000000004E-10
-4.6000000000000005,-2.4733E-10,2.3782E-05,2.3782E-05,2.4733E-10
-4.4,-2.3327E-10,2.4598E-05,2.4598E-05,2.3327E-10
-4.2,-2.1941000000000002E-10,2.54E-05,2.54E-05,2.1941000000000002E-10
-4,-2.0617000000000002E-10,2.6198000000000002E-05,2.6198000000000002E-05,2.0617000000000002E-10
-14,-1.5392E-09,1.572E-09,1.572E-09,1.5392E-09
-13.8,-1.4997E-09,2.8193E-09,2.8193E-09,1.4997E-09
-13.6,-1.4587E-09,5.5813E-09,5.5813E-09,1.4587E-09
-13.4,-1.4178E-09,1.1122799999999999E-08,1.1122799999999999E-08,1.4178E-09
-13.200000000000001,-1.3786E-09,2.1947799999999998E-08,2.1947799999999998E-08,1.3786E-09
-13,-1.3394E-09,4.09502E-08,4.09502E-08,1.3394E-09
-12.8,-1.3027E-09,7.23476E-08,7.23476E-08,1.3027E-09
-12.6,-1.2649E-09,1.212E-07,1.212E-07,1.2649E-09
-12.4,-1.2292E-09,1.941E-07,1.941E-07,1.2292E-09
-12.200000000000001,-1.1929E-09,2.972E-07,2.972E-07,1.1929E-09
-12,-1.1585E-09,4.3652E-07,4.3652E-07,1.1585E-09
-11.8,-1.1244E-09,6.1858E-07,6.1858E-07,1.1244E-09
-11.6,-1.0899E-09,8.4856E-07,8.4856E-07,1.0899E-09
-11.4,-1.0571E-09,1.1275000000000002E-06,1.1275000000000002E-06,1.0571E-09
-11.200000000000001,-1.0251E-09,1.4666E-06,1.4666E-06,1.0251E-09
-11,-9.9430000000000018E-10,1.853E-06,1.853E-06,9.9430000000000018E-10
-10.8,-9.6272000000000017E-10,2.3100000000000003E-06,2.3100000000000003E-06,9.6272000000000017E-10
-10.6,-9.3258E-10,2.8257000000000003E-06,2.8257000000000003E-06,9.3258E-10
-10.4,-9.0215E-10,3.4014E-06,3.4014E-06,9.0215E-10
-10.200000000000001,-8.7263000000000012E-10,4.0353E-06,4.0353E-06,8.7263000000000012E-10
-10,-8.4367E-10,4.7253E-06,4.7253E-06,8.4367E-10
-9.8,-8.1523000000000009E-10,5.4708E-06,5.4708E-06,8.1523000000000009E-10
-9.6,-7.8771000000000006E-10,6.2662E-06,6.2662E-06,7.8771000000000006E-10
-9.4,-7.6070000000000007E-10,7.1150000000000005E-06,7.1150000000000005E-06,7.6070000000000007E-10
-9.2000000000000011,-7.345000000000001E-10,8.0121E-06,8.0121E-06,7.345000000000001E-10
-9,-7.0801E-10,8.9528E-06,8.9528E-06,7.0801E-10
-8.8,-6.8303000000000007E-10,9.9355000000000017E-06,9.9355000000000017E-06,6.8303000000000007E-10
-8.6,-6.5835E-10,1.0950800000000002E-05,1.0950800000000002E-05,6.5835E-10
-8.4,-6.3384000000000006E-10,1.2006E-05,1.2006E-05,6.3384000000000006E-10
-8.2,-6.0997E-10,1.3094E-05,1.3094E-05,6.0997E-10
-8,-5.8645000000000008E-10,1.4214E-05,1.4214E-05,5.8645000000000008E-10
-7.8,-5.6390000000000009E-10,1.535E-05,1.535E-05,5.6390000000000009E-10
-7.6000000000000005,-5.4228E-10,1.6516E-05,1.6516E-05,5.4228E-10
-7.4,-5.2009E-10,1.7702E-05,1.7702E-05,5.2009E-10
-7.2,-4.9946E-10,1.8900000000000002E-05,1.8900000000000002E-05,4.9946E-10
-7,-4.7835E-10,2.012E-05,2.012E-05,4.7835E-10
-6.8,-4.5857000000000005E-10,2.1348E-05,2.1348E-05,4.5857000000000005E-10
-6.6000000000000005,-4.3842E-10,2.2590000000000002E-05,2.2590000000000002E-05,4.3842E-10
-6.4,-4.1957000000000003E-10,2.3834000000000003E-05,2.3834000000000003E-05,4.1957000000000003E-10
-6.2,-4.0022000000000004E-10,2.5086E-05,2.5086E-05,4.0022000000000004E-10
-6,-3.8176000000000003E-10,2.6342E-05,2.6342E-05,3.8176000000000003E-10
-5.8,-3.6451E-10,2.7596E-05,2.7596E-05,3.6451E-10
-5.6000000000000005,-3.4668000000000004E-10,2.8854000000000002E-05,2.8854000000000002E-05,3.4668000000000004E-10
-5.4,-3.2996E-10,3.0108E-05,3.0108E-05,3.2996E-10
-5.2,-3.1305E-10,3.1358E-05,3.1358E-05,3.1305E-10
-5,-2.9681000000000003E-10,3.2602000000000004E-05,3.2602000000000004E-05,2.9681000000000003E-10
-4.8,-2.8129E-10,3.3838000000000004E-05,3.3838000000000004E-05,2.8129E-10
-4.6000000000000005,-2.6602000000000003E-10,3.507E-05,3.507E-05,2.6602000000000003E-10
-4.4,-2.5071E-10,3.629E-05,3.629E-05,2.5071E-10
-4.2,-2.363E-10,3.7504E-05,3.7504E-05,2.363E-10
-4,-2.2266E-10,3.8708E-05,3.8708E-05,2.2266E-10
-14,-1.6213E-09,1.7205E-09,1.7205E-09,1.6213E-09
-13.8,-1.5815E-09,3.0891E-09,3.0891E-09,1.5815E-09
-13.6,-1.539E-09,6.1473E-09,6.1473E-09,1.539E-09
-13.4,-1.4985E-09,1.20934E-08,1.20934E-08,1.4985E-09
-13.200000000000001,-1.4566E-09,2.4253999999999997E-08,2.4253999999999997E-08,1.4566E-09
-13,-1.417E-09,4.5699999999999992E-08,4.5699999999999992E-08,1.417E-09
-12.8,-1.3777E-09,8.12998E-08,8.12998E-08,1.3777E-09
-12.6,-1.3391E-09,1.3596E-07,1.3596E-07,1.3391E-09
-12.4,-1.302E-09,2.2124E-07,2.2124E-07,1.302E-09
-12.200000000000001,-1.2644E-09,3.4209999999999997E-07,3.4209999999999997E-07,1.2644E-09
-12,-1.2278E-09,5.0715999999999994E-07,5.0715999999999994E-07,1.2278E-09
-11.8,-1.1924E-09,7.2516E-07,7.2516E-07,1.1924E-09
-11.6,-1.1568E-09,1.00314E-06,1.00314E-06,1.1568E-09
-11.4,-1.1228E-09,1.34E-06,1.34E-06,1.1228E-09
-11.200000000000001,-1.089E-09,1.7609000000000002E-06,1.7609000000000002E-06,1.089E-09
-11,-1.0554E-09,2.2545E-06,2.2545E-06,1.0554E-09
-10.8,-1.0225E-09,2.8263000000000004E-06,2.8263000000000004E-06,1.0225E-09
-10.6,-9.9104000000000013E-10,3.4627000000000003E-06,3.4627000000000003E-06,9.9104000000000013E-10
-10.4,-9.5897E-10,4.1959000000000008E-06,4.1959000000000008E-06,9.5897E-10
-10.200000000000001,-9.2816E-10,5.0041000000000009E-06,5.0041000000000009E-06,9.2816E-10
-10,-8.982400000000001E-10,5.8878000000000006E-06,5.8878000000000006E-06,8.982400000000001E-10
-9.8,-8.6807000000000008E-10,6.848E-06,6.848E-06,8.6807000000000008E-10
-9.6,-8.400000000000001E-10,7.8749000000000015E-06,7.8749000000000015E-06,8.400000000000001E-10
-9.4,-8.1183000000000008E-10,8.9761E-06,8.9761E-06,8.1183000000000008E-10
-9.2000000000000011,-7.8338E-10,1.01389E-05,1.01389E-05,7.8338E-10
-9,-7.5611000000000009E-10,1.1363200000000002E-05,1.1363200000000002E-05,7.5611000000000009E-10
-8.8,-7.290400000000001E-10,1.2646E-05,1.2646E-05,7.290400000000001E-10
-8.6,-7.032700000000001E-10,1.3982000000000001E-05,1.3982000000000001E-05,7.032700000000001E-10
-8.4,-6.7759E-10,1.5364E-05,1.5364E-05,6.7759E-10
-8.2,-6.5217E-10,1.6794000000000002E-05,1.6794000000000002E-05,6.5217E-10
-8,-6.2788E-10,1.8264E-05,1.8264E-05,6.2788E-10
-7.8,-6.0365000000000008E-10,1.9762E-05,1.9762E-05,6.0365000000000008E-10
-7.6000000000000005,-5.8017000000000008E-10,2.13E-05,2.13E-05,5.8017000000000008E-10
-7.4,-5.5701E-10,2.2868000000000002E-05,2.2868000000000002E-05,5.5701E-10
-7.2,-5.3509000000000006E-10,2.4452000000000002E-05,2.4452000000000002E-05,5.3509000000000006E-10
-7,-5.1323E-10,2.6064E-05,2.6064E-05,5.1323E-10
-6.8,-4.9176000000000007E-10,2.7696E-05,2.7696E-05,4.9176000000000007E-10
-6.6000000000000005,-4.709E-10,2.934E-05,2.934E-05,4.709E-10
-6.4,-4.5015000000000004E-10,3.0994E-05,3.0994E-05,4.5015000000000004E-10
-6.2,-4.3054000000000005E-10,3.2658E-05,3.2658E-05,4.3054000000000005E-10
-6,-4.1106000000000003E-10,3.433E-05,3.433E-05,4.1106000000000003E-10
-5.8,-3.9261000000000005E-10,3.6E-05,3.6E-05,3.9261000000000005E-10
-5.6000000000000005,-3.7363000000000003E-10,3.7676E-05,3.7676E-05,3.7363000000000003E-10
-5.4,-3.5560000000000004E-10,3.935E-05,3.935E-05,3.5560000000000004E-10
-5.2,-3.3775000000000005E-10,4.1016E-05,4.1016E-05,3.3775000000000005E-10
-5,-3.2128E-10,4.2682E-05,4.2682E-05,3.2128E-10
-4.8,-3.0476000000000004E-10,4.4328E-05,4.4328E-05,3.0476000000000004E-10
-4.6000000000000005,-2.8814E-10,4.5974000000000004E-05,4.5974000000000004E-05,2.8814E-10
-4.4,-2.7249E-10,4.7606000000000005E-05,4.7606000000000005E-05,2.7249E-10
-4.2,-2.5694000000000005E-10,4.923E-05,4.923E-05,2.5694000000000005E-10
-4,-2.4204E-10,5.0838000000000004E-05,5.0838000000000004E-05,2.4204E-10
-14,-1.7138E-09,1.8544E-09,1.8544E-09,1.7138E-09
-13.8,-1.672E-09,3.2959E-09,3.2959E-09,1.672E-09
